Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
Shakib Al Hasan (Ban),2007-2015,19,31,1,1153,144,38.43,2,6,1,6
MV Boucher (SA),1998-2010,21,22,2,767,108,38.35,1,6,1,6
A Ranatunga (SL),1982-2000,40,52,5,1793,131,38.14,2,13,2,6
TM Dilshan (SL),2000-2011,32,42,6,1349,145,37.47,2,6,4,6
MJ North (Aus),2009-2010,21,33,2,1150,128,37.09,5,4,5,6
DG Phadkar (India),1947-1953,15,20,2,656,115,36.44,1,6,1,6
HB Cameron (SA),1927-1935,17,22,1,761,90,36.23,0,7,0,6
M Azharuddin (India),1985-1999,26,31,3,993,163*,35.46,3,4,1,6
SM Katich (Aus),2001-2005,15,20,2,633,125,35.16,1,4,0,6
RJ Shastri (India),1981-1988,29,40,4,1262,142,35.05,5,1,5,6
CD McMillan (NZ),1997-2005,34,46,5,1409,107*,34.36,2,10,2,6
L Klusener (SA),1999-2001,16,22,3,649,118*,34.15,2,2,2,6
A Symonds (Aus),2004-2008,24,33,3,1024,162*,34.13,1,8,4,6
AJ Stewart (Eng),1990-2003,27,42,3,1327,123,34.02,1,10,4,6
Mushfiqur Rahim (Ban),2005-2015,19,29,1,942,200,33.64,2,3,4,6
Shoaib Malik (Pak),2003-2010,18,28,2,867,134,33.34,1,4,2,6
Wasim Raja (Pak),1973-1984,29,41,5,1197,112,33.25,2,6,3,6
AL Logie (WI),1983-1991,38,52,5,1559,98,33.17,0,13,7,6
JP Crawley (Eng),1994-2003,18,25,4,695,156*,33.09,1,3,2,6
DW Hookes (Aus),1977-1985,15,23,2,694,66*,33.04,0,5,1,6
Inzamam-ul-Haq (ICC/Pak),1992-2007,20,26,4,721,135*,32.77,2,4,4,6
MR Ramprakash (Eng),1991-2002,19,29,4,814,154,32.56,1,4,5,6
SA Thomson (NZ),1991-1995,17,30,3,879,120*,32.55,1,5,2,6
TE Bailey (Eng),1949-1959,31,38,6,1039,95,32.46,0,6,2,6
A Flintoff (Eng),2001-2009,47,66,5,1959,167,32.11,3,15,9,6
GJ Whittall (Zim),1993-2002,18,26,3,731,188*,31.78,2,3,2,6
PJL Dujon (WI),1981-1991,22,25,2,702,101,30.52,1,3,3,6
SK Raina (India),2010-2015,17,24,1,701,120,30.47,1,7,6,6
JC Adams (WI),1992-2000,21,31,6,761,98,30.44,0,5,4,6
MG Burgess (NZ),1968-1980,14,20,2,538,119*,29.88,2,2,1,6
Abdul Razzaq (Pak),1999-2006,17,23,4,566,72,29.78,0,2,0,6
GS Ramchand (India),1953-1960,20,28,3,741,109,29.64,2,3,2,6
AP Sheahan (Aus),1968-1972,19,30,2,820,114,29.28,1,3,2,6
IT Botham (Eng),1978-1992,66,94,2,2690,138,29.23,5,14,9,6
RJ Christiani (WI),1948-1954,13,20,2,501,99,27.83,0,3,0,6
V Pollard (NZ),1965-1973,15,25,2,634,116,27.56,1,4,2,6
MN Samuels (WI),2000-2014,17,28,2,709,117,27.26,1,6,6,6
JP Duminy (SA),2008-2015,18,25,2,622,166,27.04,1,4,4,6
BM McMillan (SA),1992-1998,16,23,4,510,103*,26.84,2,0,2,6
DJ Bravo (WI),2004-2010,33,50,1,1304,104,26.61,1,5,5,6
MJK Smith (Eng),1960-1966,19,26,3,576,121,25.04,2,0,5,6
JA Rudolph (SA),2003-2012,16,21,1,463,55,23.15,0,3,1,6
APE Knott (Eng),1969-1977,14,20,0,459,90,22.95,0,2,2,6
GP Thorpe (Eng),1993-2004,16,21,1,393,86,19.65,0,3,4,6
Alok Kapali (Ban),2002-2004,14,24,0,402,85,16.75,0,2,5,6
BM McMillan (SA),1992-1998,16,22,4,953,113,52.94,1,9,1,7
HP Tillakaratne (SL),1989-2004,19,22,8,701,136*,50.07,1,4,2,7
AC Gilchrist (Aus),1999-2008,78,97,14,3772,204*,45.44,11,18,13,7
GRJ Matthews (Aus),1984-1993,24,33,4,1317,128,45.41,3,10,1,7
CL Cairns (NZ),1992-2004,31,35,0,1531,158,43.74,3,11,0,7
Wasim Raja (Pak),1973-1985,24,31,5,1127,125,43.34,2,8,2,7
JDP Oram (NZ),2002-2009,16,21,6,646,126*,43.06,3,2,2,7
MJ Prior (Eng),2007-2014,62,78,13,2671,126*,41.09,4,19,8,7
APE Knott (Eng),1968-1980,61,81,11,2870,135,41,5,20,3,7
LEG Ames (Eng),1931-1938,19,24,3,849,137,40.42,2,5,2,7
